campaign_type,target_audience,duration,channel_used,impressions,clicks,leads,conversions,revenue,acquisition_cost,roi,language,engagement_score,customer_segment,date,brand,total_acquisition_cost
Social Media,College Students,21.0,"WhatsApp, YouTube",57804.0,6156.0,3616.0,2355.0,1867515.0,207.35500000000002,2.82,Hindi,20.98,College Students,2025-04-29,nykaa,488321.025
Paid Ads,Tier 2 City Customers,18.0,YouTube,91801.0,3321.0,1971.0,1357.0,1046247.0,180.83,3.26,Hindi,7.24,College Students,2025-04-06,nykaa,245386.31000000003
Influencer,Youth,23.0,"WhatsApp, Google, YouTube",15536.0,2182.0,952.0,755.0,197055.0,90.6,1.88,English,25.03,College Students,2025-01-14,nykaa,68403.0
Email,Working Women,18.0,"YouTube, Facebook, Instagram",88114.0,8413.0,2231.0,947.0,376906.0,249.07,0.6,Hindi,13.15,College Students,2025-06-04,nykaa,235869.28999999998
Paid Ads,College Students,10.0,"Facebook, Instagram",96871.0,3743.0,2060.0,1258.0,518296.0,228.6,0.8,Hindi,7.29,Tier 2 City Customers,2024-12-29,nykaa,287578.8
Influencer,Youth,26.0,"Email, Instagram",83919.0,7497.0,2061.0,1555.0,877020.0,137.79,3.09,Hindi,13.24,Premium Shoppers,2024-09-23,nykaa,214263.44999999998
Social Media,Working Women,6.0,Instagram,32482.0,2665.0,1488.0,925.0,326525.0,147.29,1.4,Hindi,15.63,Tier 2 City Customers,2025-05-31,nykaa,136243.25
Influencer,Premium Shoppers,27.0,"Facebook, WhatsApp, Email",73813.0,8680.0,5031.0,2551.0,1058665.0,87.74,3.73,Hindi,22.03,Tier 2 City Customers,2025-03-24,nykaa,223824.74
Paid Ads,College Students,11.0,Email,88895.0,6284.0,1600.0,858.0,603174.0,269.82,1.61,Hindi,9.83,Youth,2025-04-29,nykaa,231505.56
SEO,Working Women,5.0,Instagram,59141.0,1556.0,580.0,221.0,121550.0,207.35500000000002,1.65,Hindi,3.99,Working Women,2024-10-26,nykaa,45825.455
SEO,Youth,7.0,"Facebook, YouTube",39696.0,5623.0,1136.0,661.0,286874.0,163.52,1.65,Hindi,18.69,Premium Shoppers,2024-12-21,nykaa,108086.72
Email,Youth,29.0,"Email, Instagram, Facebook",20080.0,570.0,258.0,183.0,128466.0,462.62,0.52,Hindi,5.03,Working Women,2024-12-21,nykaa,84659.46
SEO,Youth,14.0,Email,96303.0,3749.0,1785.0,940.0,441800.0,282.05,0.67,Tamil,6.72,Premium Shoppers,2024-10-29,nykaa,265127.0
Paid Ads,Premium Shoppers,5.0,Instagram,38072.0,2591.0,1542.0,769.0,240697.0,369.75,-0.15,Bengali,12.88,College Students,2024-07-06,nykaa,284337.75
SEO,College Students,27.0,WhatsApp,73474.0,4886.0,2344.0,1055.0,263750.0,272.28,-0.08,English,11.28,College Students,2024-12-18,nykaa,287255.39999999997
Paid Ads,Premium Shoppers,28.0,"Google, YouTube, Instagram",57060.0,1659.0,928.0,346.0,187186.0,448.86,0.21,Hindi,5.14,Premium Shoppers,2025-04-19,nykaa,155305.56
Paid Ads,College Students,21.0,Instagram,55317.0,7847.0,1736.0,1079.0,715377.0,174.65,2.8,English,19.27,Tier 2 City Customers,2025-02-16,nykaa,188447.35
SEO,Working Women,22.0,"Instagram, YouTube, Google",27990.0,3508.0,761.0,385.0,155540.0,516.25,-0.22,Hindi,16.63,Youth,2025-01-30,nykaa,198756.25
Email,Working Women,9.0,"WhatsApp, YouTube",74423.0,3139.0,1622.0,1149.0,629652.0,89.52,5.12,Bengali,7.94,Premium Shoppers,2025-02-03,nykaa,102858.48
SEO,Working Women,9.0,"Google, Email, WhatsApp",77708.0,4985.0,1363.0,916.0,632040.0,120.36,4.73,Bengali,9.35,Tier 2 City Customers,2025-05-07,nykaa,110249.76
SEO,Working Women,21.0,"YouTube, Facebook",89970.0,10679.0,4140.0,3003.0,1537536.0,207.35500000000002,1.47,English,19.81,Working Women,2025-03-10,nykaa,622687.0650000001
SEO,Working Women,25.0,"Google, Facebook",96295.0,8911.0,2116.0,872.0,441232.0,148.17,2.41,Hindi,12.36,Tier 2 City Customers,2024-11-17,nykaa,129204.23999999999
Social Media,Working Women,15.0,YouTube,74702.0,10110.0,5298.0,2481.0,1220652.0,49.62,8.92,Tamil,23.95,Premium Shoppers,2024-10-16,nykaa,123107.21999999999
Paid Ads,Youth,15.0,"Instagram, Google, YouTube",26353.0,3943.0,1879.0,746.0,458044.0,214.56,1.86,Tamil,24.92,College Students,2025-03-30,nykaa,160061.76
Email,Youth,26.0,"WhatsApp, Instagram, Email",16978.0,1079.0,372.0,164.0,56908.0,1784.37,-0.81,English,9.51,Youth,2024-07-24,nykaa,292636.68
SEO,College Students,18.0,YouTube,92924.0,9525.0,4340.0,2242.0,652422.0,27.28,9.67,English,17.33,Youth,2025-03-17,nykaa,61161.76
SEO,Working Women,7.0,"Email, Facebook, WhatsApp",96549.0,13114.0,3791.0,1202.0,366610.0,74.34,3.1,Hindi,18.75,College Students,2025-06-04,nykaa,89356.68000000001
Social Media,Premium Shoppers,17.0,Instagram,72628.0,6488.0,1923.0,1181.0,243286.0,231.17,-0.11,Tamil,13.21,Premium Shoppers,2025-05-09,nykaa,273011.76999999996
Social Media,Youth,19.0,"WhatsApp, Google, YouTube",55226.0,3309.0,1588.0,582.0,346872.0,320.86,0.86,English,9.92,Youth,2024-12-31,nykaa,186740.52000000002
SEO,College Students,22.0,"Email, Facebook, YouTube",55226.0,1719.0,704.0,274.0,101928.0,727.09,-0.49,Tamil,4.88,Working Women,2024-12-31,nykaa,199222.66
Paid Ads,College Students,11.0,"Google, Facebook, WhatsApp",19637.0,478.0,236.0,173.0,108471.0,498.5,0.26,Tamil,4.52,Tier 2 City Customers,2024-10-12,nykaa,86240.5
Paid Ads,Tier 2 City Customers,17.0,"Facebook, YouTube, Email",53926.0,7219.0,1902.0,1105.0,339235.0,221.64,0.39,Bengali,18.96,Youth,2024-10-18,nykaa,244912.19999999998
Paid Ads,Premium Shoppers,6.0,Email,35806.0,2631.0,999.0,365.0,198925.0,362.79,0.5,English,11.16,Youth,2025-03-22,nykaa,132418.35
Email,Working Women,6.0,"Facebook, YouTube, Instagram",55226.0,2418.0,773.0,403.0,207142.0,207.35500000000002,1.48,Hindi,6.51,Youth,2024-10-21,nykaa,83564.065
Paid Ads,Tier 2 City Customers,7.0,"Instagram, WhatsApp, Facebook",96095.0,12738.0,6327.0,2845.0,631590.0,56.36,2.94,Bengali,22.8,College Students,2025-03-23,nykaa,160344.2
